# Type map: Nern et al. 2025 optic-lobe inventory -> MaleCNS v1.0 type names. Built by scripts/build_type_map_nern2025.py.
# Source: Nern A, Loesche F, Takemura S-y, et al. (2025) Connectome-driven neural inventory of a complete visual system. Nature 641, 1225-1237. doi:10.1038/s41586-025-08746-0 (CC BY 4.0); Supplementary Tables 1, 5, 7 (MOESM4 zip), hashes in docs/audits/receptor_sources_nern2025.md.
# tier: exact = identical type name in both inventories; class = MaleCNS '<prefix>_unclear' bin whose Nern subtypes all carry one prediction;
#       unmatched = MaleCNS optic-lobe-superclass type with no Nern counterpart (evidence says why). No alias / fuzzy rows were needed: all 732 Nern names are MaleCNS names.
# nern_nt: Sup_Table_1 'predicted neurotransmitter' (EM synapse classifier trained on 59 optic-lobe types; 'unclear' = low confidence, not independently confirmed).
# fw_nt: Sup_Table_7 FlyWire prediction for the matched FlyWire type (Eckstein et al. 2024 classifier, female brain). validated_*: Sup_Table_5 experimental transmitter
#       (FISH / bulk RNA-seq / antibody); validated_in_training = yes means the type was classifier ground truth, so it is not an independent check of nern_nt.
# malecns_*: from cache/neurons.parquet (model nt after the AL-LN override; mode over the type's cells, share of cells with that mode, cells with nt = unknown);
# out_syn_W = sum |c.W| over the type's output edges (sign-0 edges are zero); out_syn_raw = uncapped MaleCNS synapse count on the model's node set.
# NT vocabulary: acetylcholine gaba glutamate histamine dopamine octopamine serotonin unclear; 'a+b' = source lists two.
source_name,malecns_type,tier,evidence,n_cells_malecns,nern_main_group,nern_n_cells_R,nern_n_cells_L,nern_nt,fw_nt,t7_matched_as,validated_nt,validated_method,validated_reference,validated_in_training,malecns_superclass,malecns_nt,malecns_nt_share,malecns_n_unknown_nt,out_syn_W,out_syn_raw
DNp27,DNp27,exact,"identical name; Sup_Table_1 row 106 (instance DNp27_R, 1 cells, other)",2,other,1,1,unclear,serotonin,1-to-1,,,,,descending_neuron,acetylcholine,1.0,0,18630,18630.0
DNp30,DNp30,exact,"identical name; Sup_Table_1 row 107 (instance DNp30_R, 1 cells, other)",2,other,1,1,unclear,serotonin,1-to-1,,,,,descending_neuron,glutamate,1.0,0,5020,5020.0
DNpe053,DNpe053,exact,"identical name; Sup_Table_1 row 108 (instance DNpe053_R, 1 cells, other)",2,other,1,1,acetylcholine,acetylcholine,1-to-1,,,,,descending_neuron,acetylcholine,1.0,0,37958,37958.0
H1,H1,exact,"identical name; Sup_Table_1 row 109 (instance H1_R, 1 cells, VPN)",2,VPN,1,1,glutamate,unclear,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,13201,13201.0
H2,H2,exact,"identical name; Sup_Table_1 row 110 (instance H2_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,9172,9172.0
HBeyelet,HBeyelet,exact,"identical name; Sup_Table_1 row 111 (instance HBeyelet_R, 3 cells, ONIN)",7,ONIN,3,0,histamine,glutamate,1-to-1,histamine+acetylcholine,antibody staining,"Pollack and Hofbauer 1991, Yasuyama and Meinertzhagen 1999",no,ol_sensory,histamine,1.0,0,4144,4144.0
HSE,HSE,exact,"identical name; Sup_Table_1 row 112 (instance HSE_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,EASI-FISH (Eddison et al),Zhao et al 2023,no,visual_projection,acetylcholine,1.0,0,1411,1411.0
HSN,HSN,exact,"identical name; Sup_Table_1 row 113 (instance HSN_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,EASI-FISH (Eddison et al),Zhao et al 2023,no,visual_projection,acetylcholine,1.0,0,1351,1351.0
HSS,HSS,exact,"identical name; Sup_Table_1 row 114 (instance HSS_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,EASI-FISH (Eddison et al),Zhao et al 2023,no,visual_projection,acetylcholine,1.0,0,2411,2411.0
HST,HST,exact,"identical name; Sup_Table_1 row 115 (instance HST_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,6094,6094.0
KCg-s1,KCg-s1,exact,"identical name; Sup_Table_1 row 116 (instance KCg-s1_R, 1 cells, other)",2,other,1,0,unclear,dopamine,1-to-1,,,,,cb_intrinsic,acetylcholine,1.0,0,5271,5271.0
l-LNv,l-LNv,exact,"identical name; Sup_Table_1 row 117 (instance l-LNv_R, 4 cells, VPN)",8,VPN,4,4,unclear,serotonin,1-to-1,unclear,,,no,ol_intrinsic,serotonin,1.0,0,0,7560.0
L1,L1,exact,"identical name; Sup_Table_1 row 118 (instance L1_R, 892 cells, ONCN)",1776,ONCN,892,0,glutamate,glutamate,1-to-1,glutamate,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,glutamate,1.0,0,589071,589071.0
L2,L2,exact,"identical name; Sup_Table_1 row 119 (instance L2_R, 893 cells, ONCN)",1779,ONCN,893,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,acetylcholine,1.0,0,1249022,1249022.0
L3,L3,exact,"identical name; Sup_Table_1 row 120 (instance L3_R, 892 cells, ONCN)",1772,ONCN,892,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,acetylcholine,1.0,0,655375,655375.0
L4,L4,exact,"identical name; Sup_Table_1 row 121 (instance L4_R, 891 cells, ONCN)",1769,ONCN,891,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,acetylcholine,1.0,0,304873,304873.0
L5,L5,exact,"identical name; Sup_Table_1 row 122 (instance L5_R, 898 cells, ONCN)",1787,ONCN,898,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,acetylcholine,1.0,0,977136,977136.0
Lai,Lai,exact,"identical name; Sup_Table_1 row 123 (instance Lai_R, 48 cells, ONIN)",84,ONIN,48,0,glutamate,gaba,1-to-1,glutamate,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,glutamate,1.0,0,9169,9169.0
LAL047,LAL047,exact,"identical name; Sup_Table_1 row 124 (instance LAL047_R, 1 cells, other)",2,other,1,0,gaba,gaba,1-to-1,,,,,cb_intrinsic,gaba,1.0,0,9556,9556.0
LAL048,LAL048,exact,"identical name; Sup_Table_1 row 125 (instance LAL048_R, 2 cells, other)",10,other,2,0,unclear,,unmatched,,,,,cb_intrinsic,gaba,1.0,0,4563,4563.0
Lat1,Lat1,exact,"identical name; Sup_Table_1 row 126 (instance Lat1_R, 4 cells, VCN)",8,VCN,4,0,unclear,serotonin,3-to-1,,,,,visual_centrifugal,unknown,1.0,8,0,163.0
Lat2,Lat2,exact,"identical name; Sup_Table_1 row 127 (instance Lat2_R, 2 cells, VCN)",4,VCN,2,0,unclear,serotonin,3-to-1,,,,,visual_centrifugal,unknown,1.0,4,0,70.0
Lat3,Lat3,exact,"identical name; Sup_Table_1 row 128 (instance Lat3_R, 4 cells, ONCN)",8,ONCN,4,0,unclear,serotonin,2-to-1,,,,,ol_intrinsic,octopamine,1.0,0,0,599.0
Lat4,Lat4,exact,"identical name; Sup_Table_1 row 129 (instance Lat4_R, 1 cells, ONCN)",2,ONCN,1,0,unclear,serotonin,2-to-1,,,,,ol_intrinsic,unknown,1.0,2,0,18.0
Lat5,Lat5,exact,"identical name; Sup_Table_1 row 130 (instance Lat5_R, 1 cells, VCN)",2,VCN,1,0,unclear,serotonin,3-to-1,,,,,visual_centrifugal,unknown,1.0,2,0,111.0
Lawf1,Lawf1,exact,"identical name; Sup_Table_1 row 131 (instance Lawf1_R, 184 cells, ONCN)",361,ONCN,184,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,acetylcholine,1.0,0,40654,40654.0
Lawf2,Lawf2,exact,"identical name; Sup_Table_1 row 132 (instance Lawf2_R, 188 cells, ONCN)",383,ONCN,188,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,acetylcholine,1.0,0,9619,9619.0
LC4,LC4,exact,"identical name; Sup_Table_1 row 133 (instance LC4_R, 55 cells, VPN)",126,VPN,55,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,no,visual_projection,acetylcholine,1.0,0,144613,144613.0
LC6,LC6,exact,"identical name; Sup_Table_1 row 134 (instance LC6_R, 65 cells, VPN)",124,VPN,65,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,visual_projection,acetylcholine,1.0,0,77898,77898.0
LC9,LC9,exact,"identical name; Sup_Table_1 row 135 (instance LC9_R, 115 cells, VPN)",219,VPN,115,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,194622,194622.0
LC10a,LC10a,exact,"identical name; Sup_Table_1 row 136 (instance LC10a_R, 140 cells, VPN)",275,VPN,140,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,visual_projection,acetylcholine,1.0,0,274834,274834.0
LC10b,LC10b,exact,"identical name; Sup_Table_1 row 137 (instance LC10b_R, 48 cells, VPN)",95,VPN,48,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,36898,36898.0
LC10c-1,LC10c-1,exact,"identical name; Sup_Table_1 row 138 (instance LC10c-1_R, 66 cells, VPN)",130,VPN,66,0,acetylcholine,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,82342,82342.0
LC10c-2,LC10c-2,exact,"identical name; Sup_Table_1 row 139 (instance LC10c-2_R, 66 cells, VPN)",125,VPN,66,0,unclear,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,88719,88719.0
LC10d,LC10d,exact,"identical name; Sup_Table_1 row 140 (instance LC10d_R, 106 cells, VPN)",214,VPN,106,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,no,visual_projection,acetylcholine,1.0,0,177536,177536.0
LC10e,LC10e,exact,"identical name; Sup_Table_1 row 141 (instance LC10e_R, 48 cells, VPN)",110,VPN,48,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,31129,31129.0
LC11,LC11,exact,"identical name; Sup_Table_1 row 142 (instance LC11_R, 75 cells, VPN)",143,VPN,75,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,172566,172566.0
LC12,LC12,exact,"identical name; Sup_Table_1 row 143 (instance LC12_R, 242 cells, VPN)",498,VPN,242,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,454462,454462.0
LC13,LC13,exact,"identical name; Sup_Table_1 row 144 (instance LC13_R, 94 cells, VPN)",177,VPN,94,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,97964,97964.0
LC14a-1,LC14a-1,exact,"identical name; Sup_Table_1 row 145 (instance LC14a-1_R, 15 cells, VPN)",30,VPN,15,15,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,71729,71729.0
LC14a-2,LC14a-2,exact,"identical name; Sup_Table_1 row 146 (instance LC14a-2_R, 8 cells, VPN)",15,VPN,8,7,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,23862,23862.0
LC14b,LC14b,exact,"identical name; Sup_Table_1 row 147 (instance LC14b_R, 22 cells, VPN)",43,VPN,22,21,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,80999,80999.0
LC15,LC15,exact,"identical name; Sup_Table_1 row 148 (instance LC15_R, 65 cells, VPN)",126,VPN,65,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,110164,110164.0
LC16,LC16,exact,"identical name; Sup_Table_1 row 149 (instance LC16_R, 94 cells, VPN)",182,VPN,94,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,visual_projection,acetylcholine,1.0,0,116249,116249.0
LC17,LC17,exact,"identical name; Sup_Table_1 row 150 (instance LC17_R, 175 cells, VPN)",353,VPN,175,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,482233,482233.0
LC18,LC18,exact,"identical name; Sup_Table_1 row 151 (instance LC18_R, 104 cells, VPN)",208,VPN,104,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,143776,143776.0
LC19,LC19,exact,"identical name; Sup_Table_1 row 152 (instance LC19_R, 8 cells, VPN)",14,VPN,8,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,14680,14680.0
LC20a,LC20a,exact,"identical name; Sup_Table_1 row 153 (instance LC20a_R, 30 cells, VPN)",62,VPN,30,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,45725,45725.0
LC20b,LC20b,exact,"identical name; Sup_Table_1 row 154 (instance LC20b_R, 40 cells, VPN)",79,VPN,40,0,glutamate,glutamate,1-to-1,glutamate,EASI-FISH (Eddison et al),This study,no,visual_projection,glutamate,1.0,0,71099,71099.0
LC21,LC21,exact,"identical name; Sup_Table_1 row 155 (instance LC21_R, 78 cells, VPN)",153,VPN,78,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,134770,134770.0
LC22,LC22,exact,"identical name; Sup_Table_1 row 156 (instance LC22_R, 35 cells, VPN)",73,VPN,35,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,50256,50256.0
LC23,LC23,exact,"identical name; Sup_Table_1 row 157 (instance LC23_R, 6 cells, VPN)",11,VPN,6,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,16930,16930.0
LC24,LC24,exact,"identical name; Sup_Table_1 row 158 (instance LC24_R, 54 cells, VPN)",94,VPN,54,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,29351,29351.0
LC25,LC25,exact,"identical name; Sup_Table_1 row 159 (instance LC25_R, 27 cells, VPN)",56,VPN,27,0,glutamate,glutamate,1-to-1,glutamate,FISH (Long  et al),This study,yes,visual_projection,glutamate,1.0,0,30787,30787.0
LC26,LC26,exact,"identical name; Sup_Table_1 row 160 (instance LC26_R, 37 cells, VPN)",75,VPN,37,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,33419,33419.0
LC27,LC27,exact,"identical name; Sup_Table_1 row 161 (instance LC27_R, 23 cells, VPN)",46,VPN,23,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,14626,14626.0
LC28,LC28,exact,"identical name; Sup_Table_1 row 162 (instance LC28_R, 31 cells, VPN)",62,VPN,31,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,42422,42422.0
LC29,LC29,exact,"identical name; Sup_Table_1 row 163 (instance LC29_R, 19 cells, VPN)",40,VPN,19,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,14022,14022.0
LC30,LC30,exact,"identical name; Sup_Table_1 row 164 (instance LC30_R, 30 cells, VPN)",57,VPN,30,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,glutamate,1.0,0,9819,9819.0
LC31a,LC31a,exact,"identical name; Sup_Table_1 row 165 (instance LC31a_R, 16 cells, VPN)",32,VPN,16,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,25149,25149.0
LC31b,LC31b,exact,"identical name; Sup_Table_1 row 166 (instance LC31b_R, 6 cells, VPN)",10,VPN,6,0,unclear,acetylcholine,1-to-2,,,,,visual_projection,acetylcholine,1.0,0,20518,20518.0
LC33,LC33,exact,"identical name; Sup_Table_1 row 167 (instance LC33_R, 16 cells, VPN)",32,VPN,16,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,35989,35989.0
LC34,LC34,exact,"identical name; Sup_Table_1 row 168 (instance LC34_R, 6 cells, VPN)",10,VPN,6,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,6066,6066.0
LC35a,LC35a,exact,"identical name; Sup_Table_1 row 169 (instance LC35a_R, 5 cells, VPN)",10,VPN,5,0,acetylcholine,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,10335,10335.0
LC35b,LC35b,exact,"identical name; Sup_Table_1 row 170 (instance LC35b_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,2-to-1,,,,,visual_projection,acetylcholine,1.0,0,2360,2360.0
LC36,LC36,exact,"identical name; Sup_Table_1 row 171 (instance LC36_R, 16 cells, VPN)",32,VPN,16,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,22236,22236.0
LC37,LC37,exact,"identical name; Sup_Table_1 row 172 (instance LC37_R, 8 cells, VPN)",15,VPN,8,0,glutamate,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,15585,15585.0
LC39a,LC39a,exact,"identical name; Sup_Table_1 row 173 (instance LC39a_R, 3 cells, VPN)",6,VPN,3,0,glutamate,glutamate,2-to-1,,,,,visual_projection,glutamate,1.0,0,6789,6789.0
LC39b,LC39b,exact,"identical name; Sup_Table_1 row 174 (instance LC39b_R, 1 cells, VPN)",2,VPN,1,0,unclear,glutamate,2-to-1,,,,,visual_projection,glutamate,1.0,0,2308,2308.0
LC40,LC40,exact,"identical name; Sup_Table_1 row 175 (instance LC40_R, 15 cells, VPN)",34,VPN,15,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,20099,20099.0
LC41,LC41,exact,"identical name; Sup_Table_1 row 176 (instance LC41_R, 6 cells, VPN)",13,VPN,6,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,7994,7994.0
LC43,LC43,exact,"identical name; Sup_Table_1 row 177 (instance LC43_R, 6 cells, VPN)",14,VPN,6,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,6591,6591.0
LC44,LC44,exact,"identical name; Sup_Table_1 row 178 (instance LC44_R, 3 cells, VPN)",5,VPN,3,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,3198,3198.0
LC46b,LC46b,exact,"identical name; Sup_Table_1 row 179 (instance LC46b_R, 5 cells, VPN)",10,VPN,5,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4478,4478.0
Li11a,Li11a,exact,"identical name; Sup_Table_1 row 180 (instance Li11a_R, 2 cells, ONIN)",4,ONIN,2,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,22493,22493.0
Li11b,Li11b,exact,"identical name; Sup_Table_1 row 181 (instance Li11b_R, 2 cells, ONIN)",4,ONIN,2,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,15279,15279.0
Li12,Li12,exact,"identical name; Sup_Table_1 row 182 (instance Li12_R, 2 cells, ONIN)",4,ONIN,2,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,40252,40252.0
Li13,Li13,exact,"identical name; Sup_Table_1 row 183 (instance Li13_R, 33 cells, ONIN)",65,ONIN,33,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,89278,89278.0
Li14,Li14,exact,"identical name; Sup_Table_1 row 184 (instance Li14_R, 112 cells, ONIN)",217,ONIN,112,0,glutamate,glutamate,1-to-1,glutamate,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,glutamate,1.0,0,160253,160253.0
Li15,Li15,exact,"identical name; Sup_Table_1 row 185 (instance Li15_R, 21 cells, ONIN)",41,ONIN,21,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,44468,44468.0
Li16,Li16,exact,"identical name; Sup_Table_1 row 186 (instance Li16_R, 2 cells, ONIN)",4,ONIN,2,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,58241,58241.0
Li17,Li17,exact,"identical name; Sup_Table_1 row 187 (instance Li17_R, 10 cells, ONIN)",22,ONIN,10,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,83644,83644.0
Li18a,Li18a,exact,"identical name; Sup_Table_1 row 188 (instance Li18a_R, 23 cells, ONIN)",49,ONIN,23,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,33278,33278.0
Li18b,Li18b,exact,"identical name; Sup_Table_1 row 189 (instance Li18b_R, 17 cells, ONIN)",31,ONIN,17,0,gaba,gaba,1-to-1,gaba,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,gaba,1.0,0,8514,8514.0
Li19,Li19,exact,"identical name; Sup_Table_1 row 190 (instance Li19_R, 26 cells, ONIN)",51,ONIN,26,0,gaba,gaba,1-to-1,gaba,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,gaba,1.0,0,76257,76257.0
Li20,Li20,exact,"identical name; Sup_Table_1 row 191 (instance Li20_R, 21 cells, ONIN)",40,ONIN,21,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,54682,54682.0
Li21,Li21,exact,"identical name; Sup_Table_1 row 192 (instance Li21_R, 105 cells, ONIN)",207,ONIN,105,0,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,151744,151744.0
Li22,Li22,exact,"identical name; Sup_Table_1 row 193 (instance Li22_R, 119 cells, ONIN)",232,ONIN,119,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,49365,49365.0
Li23,Li23,exact,"identical name; Sup_Table_1 row 194 (instance Li23_R, 60 cells, ONIN)",119,ONIN,60,0,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,72296,72296.0
Li25,Li25,exact,"identical name; Sup_Table_1 row 195 (instance Li25_R, 60 cells, ONIN)",117,ONIN,60,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,206320,206320.0
Li26,Li26,exact,"identical name; Sup_Table_1 row 196 (instance Li26_R, 18 cells, ONIN)",38,ONIN,18,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,80659,80659.0
Li27,Li27,exact,"identical name; Sup_Table_1 row 197 (instance Li27_R, 58 cells, ONIN)",113,ONIN,58,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,42000,42000.0
Li28,Li28,exact,"identical name; Sup_Table_1 row 198 (instance Li28_R, 6 cells, ONIN)",13,ONIN,6,0,gaba,gaba,1-to-1,gaba,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,gaba,1.0,0,20530,20530.0
Li29,Li29,exact,"identical name; Sup_Table_1 row 199 (instance Li29_R, 4 cells, ONIN)",8,ONIN,4,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,41336,41336.0
Li30,Li30,exact,"identical name; Sup_Table_1 row 200 (instance Li30_R, 6 cells, ONIN)",10,ONIN,6,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,46619,46619.0
Li31,Li31,exact,"identical name; Sup_Table_1 row 201 (instance Li31_R, 1 cells, ONIN)",2,ONIN,1,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,20873,20873.0
Li32,Li32,exact,"identical name; Sup_Table_1 row 202 (instance Li32_R, 1 cells, ONIN)",2,ONIN,1,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,82400,82400.0
Li33,Li33,exact,"identical name; Sup_Table_1 row 203 (instance Li33_R, 1 cells, ONIN)",2,ONIN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,59949,59949.0
Li34a,Li34a,exact,"identical name; Sup_Table_1 row 204 (instance Li34a_R, 34 cells, ONIN)",68,ONIN,34,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,49967,49967.0
Li34b,Li34b,exact,"identical name; Sup_Table_1 row 205 (instance Li34b_R, 30 cells, ONIN)",60,ONIN,30,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,26200,26200.0
Li35,Li35,exact,"identical name; Sup_Table_1 row 206 (instance Li35_R, 13 cells, ONIN)",27,ONIN,13,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,12855,12855.0
Li36,Li36,exact,"identical name; Sup_Table_1 row 207 (instance Li36_R, 1 cells, ONIN)",2,ONIN,1,0,glutamate,gaba,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,4506,4506.0
Li37,Li37,exact,"identical name; Sup_Table_1 row 208 (instance Li37_R, 1 cells, ONIN)",2,ONIN,1,0,glutamate,,unmatched,,,,,ol_intrinsic,glutamate,1.0,0,4449,4449.0
LLPC1,LLPC1,exact,"identical name; Sup_Table_1 row 209 (instance LLPC1_R, 142 cells, VPN)",285,VPN,142,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,visual_projection,acetylcholine,1.0,0,172299,172299.0
LLPC2,LLPC2,exact,"identical name; Sup_Table_1 row 210 (instance LLPC2_R, 125 cells, VPN)",250,VPN,125,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,88511,88511.0
LLPC3,LLPC3,exact,"identical name; Sup_Table_1 row 211 (instance LLPC3_R, 112 cells, VPN)",219,VPN,112,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,100355,100355.0
LLPC4,LLPC4,exact,"identical name; Sup_Table_1 row 212 (instance LLPC4_R, 3 cells, VPN)",6,VPN,3,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4735,4735.0
LOLP1,LOLP1,exact,"identical name; Sup_Table_1 row 213 (instance LOLP1_R, 32 cells, ONCN)",69,ONCN,32,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,135024,135024.0
LoVC2,LoVC2,exact,"identical name; Sup_Table_1 row 214 (instance LoVC2_R, 1 cells, VCN)",2,VCN,1,0,gaba,gaba,1-to-1,,,,,visual_centrifugal,gaba,1.0,0,12547,12547.0
LoVC4,LoVC4,exact,"identical name; Sup_Table_1 row 215 (instance LoVC4_R, 1 cells, VCN)",2,VCN,1,0,gaba,gaba,1-to-1,,,,,visual_centrifugal,gaba,1.0,0,9447,9447.0
LoVC5,LoVC5,exact,"identical name; Sup_Table_1 row 216 (instance LoVC5_R, 1 cells, VCN)",2,VCN,1,0,gaba,gaba,1-to-1,,,,,visual_centrifugal,gaba,1.0,0,10643,10643.0
LoVC6,LoVC6,exact,"identical name; Sup_Table_1 row 217 (instance LoVC6_R, 1 cells, VCN)",2,VCN,1,0,gaba,gaba,1-to-1,,,,,visual_centrifugal,gaba,1.0,0,12100,12100.0
LoVC7,LoVC7,exact,"identical name; Sup_Table_1 row 218 (instance LoVC7_R, 1 cells, VCN)",2,VCN,1,0,gaba,gaba,1-to-1,,,,,visual_centrifugal,gaba,1.0,0,15844,15844.0
