# Kurmangaliyev, Yoo, Valdes-Aleman, Sanfilippo & Zipursky 2020 Neuron 108:1045-1057 (doi:10.1016/j.neuron.2020.10.006),
# pupal optic-lobe scRNA-seq clusters (GEO GSE156455, metadata_main `type` / `subtype` columns) -> MaleCNS v1.0 cell types
# (cache/neurons.parquet). Built by scripts/build_kurmangaliyev2020_tables.py; provenance and coverage in
# docs/audits/receptor_sources_profiles.md. Cluster unit = `subtype` (196 labels) + the parent pools T4.T5 / Dm3 / Tm9.
# tier: exact = author annotation is the MaleCNS type name; alias = documented renaming (R1.6 -> R1-R6, Lpi3.4 -> LPi34);
# fuzzy = name collision / bridge not verifiable (Tm29, Pm3); class = cluster pools several MaleCNS types or subdivides one;
# unmatched = no evidenced MaleCNS type (N## unannotated neurons, G## glia, C## central brain, R184).
# n_cells_source = cells of the cluster in the main dataset (all timepoints 24-96 h APF); n_cells_malecns = cells of the type in MaleCNS.
source_name,malecns_type,tier,evidence,n_cells_malecns,source_cluster,n_cells_source,malecns_superclass,malecns_nt
Tm9b,Tm9,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; subdivision of Tm9",1771,Tm9b,1140,ol_intrinsic,acetylcholine
TmY3,TmY3,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",824,TmY3,1802,ol_intrinsic,acetylcholine
TmY5a,TmY5a,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1364,TmY5a,2905,ol_intrinsic,glutamate
C112,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C112,501,,
C130,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C130,403,,
C16,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C16,2615,,
C165,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C165,230,,
C167,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C167,218,,
C192,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C192,104,,
C32,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C32,1963,,
C46,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C46,1761,,
C67,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C67,980,,
C68,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C68,943,,
C72,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C72,866,,
C86,,unmatched,central-brain cluster (metadata class C; not an optic-lobe type),0,C86,770,,
G113,,unmatched,glia cluster (metadata class G),0,G113,499,,
G121,,unmatched,glia cluster (metadata class G),0,G121,449,,
G125,,unmatched,glia cluster (metadata class G),0,G125,436,,
G145,,unmatched,glia cluster (metadata class G),0,G145,336,,
G157,,unmatched,glia cluster (metadata class G),0,G157,279,,
G173,,unmatched,glia cluster (metadata class G),0,G173,171,,
G186,,unmatched,glia cluster (metadata class G),0,G186,123,,
G193,,unmatched,glia cluster (metadata class G),0,G193,96,,
G37,,unmatched,glia cluster (metadata class G),0,G37,1812,,
G43,,unmatched,glia cluster (metadata class G),0,G43,1789,,
G49,,unmatched,glia cluster (metadata class G),0,G49,1603,,
G51,,unmatched,glia cluster (metadata class G),0,G51,1437,,
G57,,unmatched,glia cluster (metadata class G),0,G57,1271,,
G63,,unmatched,glia cluster (metadata class G),0,G63,1130,,
G66,,unmatched,glia cluster (metadata class G),0,G66,987,,
G74,,unmatched,glia cluster (metadata class G),0,G74,860,,
G77,,unmatched,glia cluster (metadata class G),0,G77,846,,
G78,,unmatched,glia cluster (metadata class G),0,G78,831,,
G91,,unmatched,glia cluster (metadata class G),0,G91,734,,
N1,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N1,3119,,
N100,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N100,622,,
N101,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N101,608,,
N102,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N102,597,,
N103,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N103,593,,
N104,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N104,592,,
N106,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N106,576,,
N108,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N108,569,,
N110,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N110,530,,
N111,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N111,509,,
N114,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N114,498,,
N115,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N115,489,,
N116,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N116,488,,
N117,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N117,486,,
N118,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N118,472,,
N119,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N119,471,,
N120,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N120,470,,
N122,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N122,448,,
N123,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N123,447,,
N124,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N124,442,,
N126,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N126,435,,
N128,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N128,412,,
N129,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N129,408,,
N131,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N131,397,,
N132,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N132,386,,
N134,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N134,377,,
N135,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N135,376,,
N136,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N136,373,,
N137,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N137,372,,
N138,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N138,371,,
N139,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N139,371,,
N140,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N140,370,,
N142,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N142,367,,
N143,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N143,361,,
N146,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N146,334,,
N148,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N148,322,,
N150,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N150,305,,
N151,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N151,297,,
N152,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N152,296,,
N153,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N153,290,,
N154,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N154,290,,
N155,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N155,287,,
N156,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N156,283,,
N158,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N158,264,,
N159,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N159,263,,
N160,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N160,263,,
N161,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N161,257,,
N162,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N162,254,,
N163,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N163,253,,
N164,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N164,240,,
N168,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N168,212,,
N169,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N169,198,,
N170,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N170,178,,
N172,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N172,177,,
N174,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N174,165,,
N176,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N176,153,,
N177,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N177,151,,
N178,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N178,137,,
N179,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N179,129,,
N180,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N180,129,,
N181,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N181,128,,
N182,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N182,128,,
N183,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N183,128,,
N188,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N188,119,,
N19,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N19,2522,,
N190,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N190,118,,
N194,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N194,94,,
N195,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N195,78,,
N33,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N33,1908,,
N34,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N34,1871,,
N35,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N35,1860,,
N39,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N39,1807,,
N42,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N42,1797,,
N48,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N48,1681,,
N52,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N52,1412,,
N54,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N54,1392,,
N55,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N55,1321,,
N56,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N56,1316,,
N58,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N58,1240,,
N59,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N59,1234,,
N61,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N61,1199,,
N65,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N65,1018,,
N69,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N69,940,,
N70,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N70,911,,
N71,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N71,893,,
N73,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N73,865,,
N75,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N75,860,,
N76,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N76,857,,
N79,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N79,824,,
N80,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N80,818,,
N81,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N81,810,,
N82,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N82,791,,
N83,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N83,781,,
N84,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N84,777,,
N85,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N85,774,,
N87,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N87,767,,
N88,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N88,761,,
N89,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N89,759,,
N90,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N90,744,,
N92,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N92,734,,
N93,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N93,732,,
N95,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N95,681,,
N96,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N96,680,,
N99,,unmatched,unannotated neuronal cluster (metadata class N; no type assigned by the authors),0,N99,625,,
R184,,unmatched,unannotated photoreceptor-class cluster (metadata class R),0,R184,126,,
Dm3,Dm3a,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the Dm3a / Dm3b subtypes; MaleCNS has three Dm3 types (Dm3a = FlyWire Dm3p, Dm3b = Dm3q, Dm3c = Dm3v; Nern 2025)",1204,Dm3,5788,ol_intrinsic,glutamate
Dm3,Dm3b,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the Dm3a / Dm3b subtypes; MaleCNS has three Dm3 types (Dm3a = FlyWire Dm3p, Dm3b = Dm3q, Dm3c = Dm3v; Nern 2025)",1137,Dm3,5788,ol_intrinsic,glutamate
Dm3,Dm3c,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the Dm3a / Dm3b subtypes; MaleCNS has three Dm3 types (Dm3a = FlyWire Dm3p, Dm3b = Dm3q, Dm3c = Dm3v; Nern 2025)",787,Dm3,5788,ol_intrinsic,glutamate
T4.T5,T4a,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the eight T4 / T5 subtypes",1684,T4.T5,18305,ol_intrinsic,acetylcholine
T4.T5,T4b,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the eight T4 / T5 subtypes",1690,T4.T5,18305,ol_intrinsic,acetylcholine
T4.T5,T4c,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the eight T4 / T5 subtypes",1778,T4.T5,18305,ol_intrinsic,acetylcholine
T4.T5,T4d,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the eight T4 / T5 subtypes",1709,T4.T5,18305,ol_intrinsic,acetylcholine
T4.T5,T5a,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the eight T4 / T5 subtypes",1664,T4.T5,18305,ol_intrinsic,acetylcholine
T4.T5,T5b,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the eight T4 / T5 subtypes",1715,T4.T5,18305,ol_intrinsic,acetylcholine
T4.T5,T5c,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the eight T4 / T5 subtypes",1720,T4.T5,18305,ol_intrinsic,acetylcholine
T4.T5,T5d,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent pool of the eight T4 / T5 subtypes",1620,T4.T5,18305,ol_intrinsic,acetylcholine
Tm9,Tm9,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); parent of the Tm9a / Tm9b subtypes (both mapped to the single MaleCNS Tm9 at class tier)",1771,Tm9,2905,ol_intrinsic,acetylcholine
